City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sørland,67.667,12.6934,35.91,82,100,27.04,NO,1610218781
Vyshneve,50.3891,30.3705,33.01,93,90,11.18,UA,1610218782
Barrow,71.2906,-156.7887,-2.2,78,90,8.05,US,1610218541
Chernyshevskiy,63.0128,112.4714,-26.9,85,24,3.65,RU,1610218785
Puerto Ayora,-0.7393,-90.3518,84.2,58,0,17.27,EC,1610218786
Thompson,55.7435,-97.8558,1.4,92,75,5.75,CA,1610218788
Tautira,-17.7333,-149.15,82.4,69,40,11.5,PF,1610218789
Padang,-0.9492,100.3543,77.0,88,90,3.44,ID,1610218790
Cape Town,-33.9258,18.4232,72.0,68,20,14.97,ZA,1610218791
Saint Paul Harbor,57.79,-152.4072,33.8,86,90,6.91,US,1610218793
Beringovskiy,63.05,179.3167,-18.02,85,100,11.39,RU,1610218794
Tsumeb,-19.2333,17.7167,72.07,75,100,15.7,NA,1610218795
Egvekinot,66.3167,-179.1667,-19.64,87,79,10.13,RU,1610218796
Lubao,14.9167,120.55,75.2,73,40,4.61,PH,1610218798
Departamento de Maldonado,-34.6667,-54.9167,75.0,68,75,6.91,UY,1610218799
Almenara,-16.1836,-40.6944,86.58,64,15,7.4,BR,1610218800
Hilo,19.7297,-155.09,71.6,78,90,4.61,US,1610218802
Jamestown,42.097,-79.2353,34.0,55,75,6.91,US,1610218803
Klaksvík,62.2266,-6.589,35.6,60,40,27.63,FO,1610218805
Dikson,73.5069,80.5464,-6.88,84,100,5.64,RU,1610218806
Qaanaaq,77.484,-69.3632,-1.37,77,3,4.72,GL,1610218807
Port-Gentil,-0.7193,8.7815,82.4,83,40,8.05,GA,1610218809
Ushuaia,-54.8,-68.3,60.8,31,40,5.75,AR,1610218810
Leon Valley,29.4952,-98.6186,53.01,61,90,10.36,US,1610218812
Krasnosel'kup,65.7,82.4667,-11.87,90,94,5.41,RU,1610218815
Punta Arenas,-53.15,-70.9167,51.8,66,75,13.8,CL,1610218817
Aklavik,68.2191,-135.0107,5.0,85,75,2.3,CA,1610218819
Paita,-5.0892,-81.1144,87.8,58,0,13.8,PE,1610218564
Shitkino,56.3703,98.3543,-0.24,91,100,5.1,RU,1610218821
Beira,-19.8436,34.8389,82.4,83,40,4.61,MZ,1610218823
Bluff,-46.6,168.3333,52.0,91,100,1.99,NZ,1610218824
Opuwo,-18.0607,13.84,66.02,75,28,13.04,NA,1610218826
Hualmay,-11.0964,-77.6139,76.21,68,16,12.33,PE,1610218828
Rikitea,-23.1203,-134.9692,77.88,76,100,13.27,PF,1610218829
Albany,42.6001,-73.9662,30.99,55,100,1.01,US,1610218696
Longyearbyen,78.2186,15.6401,23.0,74,75,17.27,SJ,1610218831
Puerto del Rosario,28.5004,-13.8627,62.6,51,40,16.11,ES,1610218584
Atuona,-9.8,-139.0333,77.99,73,100,17.54,PF,1610218834
Riyadh,24.6877,46.7219,57.2,72,0,5.75,SA,1610218555
Mar del Plata,-38.0023,-57.5575,80.6,47,0,11.5,AR,1610218751
Iqaluit,63.7506,-68.5145,10.4,79,90,10.36,CA,1610218815
San Cristobal,7.7669,-72.225,80.6,69,40,2.3,VE,1610218839
Busselton,-33.65,115.3333,66.99,81,82,3.0,AU,1610218840
Qasigiannguit,68.8193,-51.1922,21.2,42,40,20.71,GL,1610218841
Hobart,-42.8794,147.3294,55.4,88,90,3.44,AU,1610218842
Meulaboh,4.1363,96.1285,74.75,90,100,4.72,ID,1610218844
Hithadhoo,-0.6,73.0833,80.92,76,100,11.05,MV,1610218845
Darłowo,54.421,16.4107,36.0,10,91,6.8,PL,1610218662
Mataura,-46.1927,168.8643,52.0,91,56,1.99,NZ,1610218847
Reconquista,-29.15,-59.65,96.51,28,36,6.69,AR,1610218818
Fallon,39.4735,-118.7774,37.0,64,40,1.88,US,1610218850
Bengkulu,-3.8004,102.2655,75.27,87,100,5.1,ID,1610218851
Sola,-13.8833,167.55,75.2,100,40,3.38,VU,1610218852
Kruisfontein,-34.0033,24.7314,73.0,79,49,5.01,ZA,1610218854
Naze,28.3667,129.4833,48.81,73,100,15.01,JP,1610218855
Tefé,-3.3542,-64.7114,75.2,94,90,5.75,BR,1610218856
Brønnøysund,65.4625,12.1997,37.4,48,40,29.93,NO,1610218857
Kapaa,22.0752,-159.319,68.0,88,90,8.05,US,1610218859
Avarua,-21.2078,-159.775,78.8,83,20,4.61,CK,1610218860
Aquiraz,-3.9014,-38.3911,86.0,66,40,13.8,BR,1610218861
Andenes,69.3143,16.1194,30.2,69,100,18.41,NO,1610218863
Makakilo City,21.3469,-158.0858,68.0,88,1,3.44,US,1610218864
Nanortalik,60.1432,-45.2371,31.19,93,98,7.99,GL,1610218865
Tasiilaq,65.6145,-37.6368,15.8,48,20,1.14,GL,1610218867
Vaini,-21.2,-175.2,78.8,94,75,5.75,TO,1610218868
Muriti,-1.9833,32.9167,68.0,94,75,14.56,TZ,1610218870
Luanda,-8.8368,13.2343,78.8,78,75,6.91,AO,1610218871
Santa Isabel Rio Negro,-0.4139,-65.0192,81.99,84,91,2.01,BR,1610218873
Mehamn,71.0357,27.8492,15.82,93,33,15.43,NO,1610218874
